"accessions"	"IRSNorm_E18_1_tmm_mid_older"	"IRSNorm_E18_2_tmm_mid_older"	"IRSNorm_E18_3_tmm_mid_older"	"IRSNorm_P0_1_tmm_mid_older"	"IRSNorm_P0_2_tmm_mid_older"	"IRSNorm_P0_3_tmm_mid_older"	"IRSNorm_P3_1_tmm_mid_older"	"IRSNorm_P3_2_tmm_mid_older"	"IRSNorm_P3_3_tmm_mid_older"	"IRSNorm_P6_1_tmm_mid_older"	"IRSNorm_P6_2_tmm_mid_older"	"IRSNorm_P6_3_tmm_mid_older"	"logFC_mid_older"	"FC_mid_older"	"PValue_mid_older"	"FDR_mid_older"	"ave_mid_mid_older"	"ave_older_mid_older"	"direction_mid_older"	"candidate_mid_older"	"Acc_mid_older"
"sp|P24622|CRYAA_MOUSE"	958625095.261413	674486832.934057	1117068904.21677	1255661892.54457	1119480832.24537	1201135303.25872	1796090145.24251	2203530724.77144	1856542317.8939	2141922988.90517	2327457513.29902	2272348746.8373	0.993712294650608	1.99130235647048	1.01224594435619e-12	3.07216644112104e-10	1054409810.07682	2099648739.49156	"up"	"high"	"sp|P24622|CRYAA_MOUSE"
"sp|Q9WVJ5|CRBB1_MOUSE"	648824870.756279	380731980.951305	776174860.10779	750612661.178818	729860443.265991	698305412.006995	978399457.227133	1315654308.83272	961028821.865489	1112117462.93277	1229328230.08303	1228093972.90249	0.776346794098062	1.71278823816989	1.33032638804844e-07	4.52204545825427e-06	664085038.04453	1137437042.30727	"up"	"high"	"sp|Q9WVJ5|CRBB1_MOUSE"
"sp|P02525|CRBA1_MOUSE"	372518566.399959	231929413.288491	404906922.598559	484642324.331413	372184660.184452	502069510.302631	634574945.104798	867337971.14861	725399149.285366	786359110.130122	936806048.395799	829690506.560364	1.01323900653935	2.01843762721619	2.9924312318184e-10	3.52172806460592e-08	394708566.184251	796694621.770843	"up"	"high"	"sp|P02525|CRBA1_MOUSE"
"sp|Q9JJU9|CRBB3_MOUSE"	408845744.186193	242076311.127788	354087197.26135	443497684.995593	453561704.636831	398459009.993076	575363230.703982	677717895.314297	572104305.175018	681464633.58464	834508010.852402	795998518.910964	0.846674768274434	1.79835116982117	4.81828060779828e-09	2.96708323225143e-07	383421275.366805	689526099.090217	"up"	"high"	"sp|Q9JJU9|CRBB3_MOUSE"
"sp|P04345|CRGA_MOUSE"	314863271.048515	202394236.142249	348241189.802321	399779566.332885	356598176.927431	403797090.637235	530773310.312992	668379618.650507	575453809.799399	637490296.1488	707761952.981486	682097880.688561	0.908340486230665	1.87688529795328	6.10928490604127e-10	5.67172772696021e-08	337612255.148439	633659478.096957	"up"	"high"	"sp|P04345|CRGA_MOUSE"
"sp|P23927|CRYAB_MOUSE"	87928042.2569037	34912916.3864585	81261667.9647109	129388062.541287	105863279.357537	110836097.037892	257489795.057471	293183654.009356	267148469.486484	420307893.585206	437459893.198749	424269020.239321	1.93229027544023	3.81660603685626	1.61582974009837e-13	7.71490317871018e-11	91698344.257465	349976454.262765	"up"	"high"	"sp|P23927|CRYAB_MOUSE"
"sp|P04344|CRGB_MOUSE"	122494374.646874	43862535.8872815	87121335.9918918	108819064.613618	114036634.858597	92346587.7229776	173077851.129861	225071737.759931	149970947.624203	222402466.992051	291886609.389924	326977172.538071	1.28875795454555	2.44317627041389	3.64672849983025e-07	1.02615558912442e-05	94780088.9535401	231564464.239007	"up"	"high"	"sp|P04344|CRGB_MOUSE"
"sp|Q9JJV1|CRBA2_MOUSE"	90060928.6392503	47401677.8493586	87559642.345339	101522606.313006	87128578.9982661	117107667.022134	144594969.84254	191266850.578261	185699755.481154	194877607.389232	230827906.97976	194964750.718626	1.10566660067466	2.15198287670274	2.33775054184743e-10	3.01003092494234e-08	88463516.8612257	190371973.498262	"up"	"high"	"sp|Q9JJV1|CRBA2_MOUSE"
"sp|P62696|CRBB2_MOUSE"	25738801.792102	2597668.97320828	6680328.39024062	24239703.2187273	14830692.3703182	18214923.7987199	105087031.139101	95797949.3511601	110670305.925128	293695586.904666	293917472.179332	285356662.778733	3.68180108034133	12.8331291520924	1.98265998604155e-09	1.45246935873975e-07	15383686.423886	197420834.71302	"up"	"high"	"sp|P62696|CRBB2_MOUSE"
"sp|A2AMT1|BFSP1_MOUSE"	95136953.1307015	46098544.3909245	77360099.465325	88838731.8298333	115498797.699212	81865026.1475121	148409168.986348	161235207.605434	119117925.344747	160882324.349738	178171289.606766	192466574.829638	0.927752242284117	1.90230983543789	2.9700669552383e-05	0.000378741687626527	84133025.4439181	160047081.787112	"up"	"high"	"sp|A2AMT1|BFSP1_MOUSE"
