"IRSNorm_E15_1_tmm"	"IRSNorm_E15_2_tmm"	"IRSNorm_E15_3_tmm"	"IRSNorm_E18_1_tmm"	"IRSNorm_E18_2_tmm"	"IRSNorm_E18_3_tmm"	"IRSNorm_P0_1_tmm"	"IRSNorm_P0_2_tmm"	"IRSNorm_P0_3_tmm"	"IRSNorm_P3_1_tmm"	"IRSNorm_P3_2_tmm"	"IRSNorm_P3_3_tmm"	"IRSNorm_P6_1_tmm"	"IRSNorm_P6_2_tmm"	"IRSNorm_P6_3_tmm"	"IRSNorm_P9_1_tmm"	"IRSNorm_P9_2_tmm"	"IRSNorm_P9_3_tmm"	"genes"	"logFC.E18"	"logFC.P0"	"logFC.P3"	"logFC.P6"	"logFC.P9"	"logCPM"	"F"	"PValue"	"FDR"
589221203.300561	425555976.214748	416235797.031359	958625095.261413	674486832.934057	1117068904.21677	1255661892.54457	1119480832.24537	1201135303.25872	1796090145.24251	2203530724.77144	1856542317.8939	2141922988.90517	2327457513.29902	2272348746.8373	2607219959.62847	2349432358.58502	2569587055.98458	"sp|P24622|CRYAA_MOUSE"	0.942489728334527	1.3214221451423	2.03291900195663	2.23608193493159	2.39489242119771	17.101192174094	52.4244322807796	3.29886673292673e-09	3.81819801017504e-07
403782801.38512	316377700.232352	313257133.145232	648824870.756279	380731980.951305	776174860.10779	750612661.178818	729860443.265991	698305412.006995	978399457.227133	1315654308.83272	961028821.865489	1112117462.93277	1229328230.08303	1228093972.90249	1358333413.60083	1242496215.87676	1346728873.05876	"sp|Q9WVJ5|CRBB1_MOUSE"	0.805160149995109	1.07609613930835	1.65527073975027	1.78831462602552	1.93353723916153	16.2808997278692	24.6898692611543	6.79645425330513e-07	1.36863194892386e-05
218446961.065573	148824148.170397	152545153.215376	372518566.399959	231929413.288491	404906922.598559	484642324.331413	372184660.184452	502069510.302631	634574945.104798	867337971.14861	725399149.285366	786359110.130122	936806048.395799	829690506.560364	999878804.075732	918758033.252992	913590572.3389	"sp|P02525|CRBA1_MOUSE"	0.957359858829706	1.38636189944188	2.09923003259867	2.29603829889111	2.44586343620055	15.692331546697	38.6228083389177	3.02017853842282e-08	1.6243972923745e-06
234841800.684546	185036962.536308	219913168.73262	408845744.186193	242076311.127788	354087197.26135	443497684.995593	453561704.636831	398459009.993076	575363230.703982	677717895.314297	572104305.175018	681464633.58464	834508010.852402	795998518.910964	893426379.676277	774754994.651218	964964833.25195	"sp|Q9JJU9|CRBB3_MOUSE"	0.651534077027379	1.01785480102393	1.51236833807697	1.85344869857124	2.04111292535904	15.5795143029758	41.2750926155955	1.87977871122966e-08	1.17147691243776e-06
180508435.238762	147999569.830827	122248286.540986	314863271.048515	202394236.142249	348241189.802321	399779566.332885	356598176.927431	403797090.637235	530773310.312992	668379618.650507	575453809.799399	637490296.1488	707761952.981486	682097880.688561	779193443.337946	683401991.294805	760713683.606201	"sp|P04345|CRGA_MOUSE"	0.941184017558692	1.36392269773284	1.97707981860505	2.1691757353741	2.30228901469965	15.3877011774257	44.2509073019504	1.14034248520416e-08	8.75187930398573e-07
30386153.6161801	13498114.8426513	18336695.0687919	87928042.2569037	34912916.3864585	81261667.9647109	129388062.541287	105863279.357537	110836097.037892	257489795.057471	293183654.009356	267148469.486484	420307893.585206	437459893.198749	424269020.239321	632684870.879826	549380854.684372	610753052.008991	"sp|P23927|CRYAB_MOUSE"	1.71382211410021	2.47566396384992	3.71631411126031	4.36489315945953	4.84868514163226	14.4715059858447	63.9667269717308	7.76237765370016e-10	1.9956223089844e-07
62328996.0981614	24894509.4022515	33048944.4855979	122494374.646874	43862535.8872815	87121335.9918918	108819064.613618	114036634.858597	92346587.7229776	173077851.129861	225071737.759931	149970947.624203	222402466.992051	291886609.389924	326977172.538071	331881754.00295	336812805.278115	401155215.149733	"sp|P04344|CRGB_MOUSE"	1.07555573102195	1.38997180862103	2.18818699057643	2.80625626801699	3.15303012970553	13.9544729340472	22.7306795405352	1.18655410049367e-06	2.06839098429466e-05
49237487.1920357	34980822.5967862	30454992.6352135	90060928.6392503	47401677.8493586	87559642.345339	101522606.313006	87128578.9982661	117107667.022134	144594969.84254	191266850.578261	185699755.481154	194877607.389232	230827906.97976	194964750.718626	261918335.765453	236595085.425788	239909518.695626	"sp|Q9JJV1|CRBA2_MOUSE"	0.972538098675487	1.4148647266713	2.18530804384719	2.43629748810771	2.68691782961324	13.6368675309748	38.3109299457912	3.19955625887318e-08	1.68665139406282e-06
15133383.7626977	1929655.6721515	1271693.79883719	25738801.792102	2597668.97320828	6680328.39024062	24239703.2187273	14830692.3703182	18214923.7987199	105087031.139101	95797949.3511601	110670305.925128	293695586.904666	293917472.179332	285356662.778733	600204481.935867	531969896.163203	589184825.169452	"sp|P62696|CRBB2_MOUSE"	0.93346810181533	1.64358652236359	4.08683734977511	5.57328076637238	6.55282542645259	13.8928361690827	20.140307432691	2.64992848538027e-06	3.7407130014554e-05
19379328.3440801	10277634.9088991	30053389.218082	95136953.1307015	46098544.3909245	77360099.465325	88838731.8298333	115498797.699212	81865026.1475121	148409168.986348	161235207.605434	119117925.344747	160882324.349738	178171289.606766	192466574.829638	213068495.301334	175980736.070125	226784762.23786	"sp|A2AMT1|BFSP1_MOUSE"	1.8722113253587	2.26098355140124	2.84412505882676	3.15407148519135	3.36648849909753	13.3979826086721	25.0590180529402	6.14543395534485e-07	1.2936476727112e-05
