"IRSNorm_E15_1_tmm"	"IRSNorm_E15_2_tmm"	"IRSNorm_E15_3_tmm"	"IRSNorm_E18_1_tmm"	"IRSNorm_E18_2_tmm"	"IRSNorm_E18_3_tmm"	"IRSNorm_P0_1_tmm"	"IRSNorm_P0_2_tmm"	"IRSNorm_P0_3_tmm"	"IRSNorm_P3_1_tmm"	"IRSNorm_P3_2_tmm"	"IRSNorm_P3_3_tmm"	"IRSNorm_P6_1_tmm"	"IRSNorm_P6_2_tmm"	"IRSNorm_P6_3_tmm"	"IRSNorm_P9_1_tmm"	"IRSNorm_P9_2_tmm"	"IRSNorm_P9_3_tmm"	"genes"	"logFC.E18"	"logFC.P0"	"logFC.P3"	"logFC.P6"	"logFC.P9"	"logCPM"	"F"	"PValue"	"FDR"
827212390.556618	643932851.251403	624345642.444929	1141525898.58509	956752363.297722	1314239740.42598	1381947062.6668	1248159136.38236	1363875321.63849	1666816829.14931	1815101875.7682	1735922470.72437	1749139001.52875	1771143594.06896	1725083943.39282	1781979002.70137	1734223632.71673	1711909538.71511	"sp|P24622|CRYAA_MOUSE"	0.703548411416889	0.930539412290893	1.31616478555568	1.32375534438491	1.31900185038671	16.9549193327471	37.0797333773835	2.77023487188489e-08	2.97471587550338e-07
566873925.324533	478729017.966308	469879638.990496	772617363.425525	540064245.54443	913175402.898227	826103721.452035	813753978.010815	792917763.56839	907979304.52235	1083736467.56048	898590627.755038	908178323.297805	935491542.714994	932323965.051687	928391796.313675	917143365.826593	897217316.876991	"sp|Q9WVJ5|CRBB1_MOUSE"	0.554583646607826	0.682825899507555	0.931445169093042	0.873227090835499	0.855847160328568	16.1661827726576	11.2215287298057	8.64227432413068e-05	0.00020321540455579
306679447.142545	225194248.048968	228814778.463032	443593218.403469	328989393.783633	476375957.511522	533384058.662936	414965286.273672	570094154.248158	588901509.570036	714447391.479018	678269852.161148	642157255.821364	712888644.377206	629870645.007653	683395747.84592	678177385.355878	608652044.547247	"sp|P02525|CRBA1_MOUSE"	0.715347971330069	0.997215577524332	1.38130177700464	1.38370070151613	1.37298287552032	15.5425303400698	22.8893064045461	8.57673981936748e-07	3.91462247769499e-06
329696294.462421	279989908.572631	329865498.33945	486851437.357338	343382659.914059	416586178.757881	488101396.337811	505696184.560966	452445622.853371	533951549.342546	558252721.052597	534934598.247183	556498237.770287	635042104.603427	604292921.959699	610637795.696184	571882146.927893	642878589.663381	"sp|Q9JJU9|CRBB3_MOUSE"	0.408209064390034	0.622265722453216	0.792292926111523	0.934608950604657	0.958167019057733	15.4506703768973	20.3068799000148	1.94443599035576e-06	7.55892820038577e-06
253417245.328361	223946531.858958	183370064.618621	374937585.28936	287094060.686972	409708308.201749	439986433.201664	397587220.548062	458506952.027305	492570981.71625	550560555.339479	538066485.027903	520587876.345608	538591163.098001	517823729.05384	532562030.274062	504450310.994657	506802448.340312	"sp|P04345|CRGA_MOUSE"	0.697813750314306	0.97201430080743	1.25887691130406	1.25504404858442	1.22435853964669	15.2505253331995	27.4361530593481	2.4181998737343e-07	1.44108432868121e-06
42659365.6709248	20424762.1064102	27504687.83486	104704266.500314	49523598.729207	95604947.0264363	142400955.252955	118031694.274286	125853113.372483	238957006.06834	241502509.747013	249791791.294743	343232195.148183	332897285.159386	322089501.231943	432426558.822192	405523171.618169	406895720.111313	"sp|P23927|CRYAB_MOUSE"	1.46355812616939	2.09226366226184	3.01098819104618	3.46195149306812	3.78048989095946	14.1874848409894	57.3966056460865	1.15224769033772e-09	4.45081857840454e-08
87504179.3719257	37669292.2103561	49572777.3155292	145865679.69229	62218538.3335578	102498889.340965	119763279.906657	127144533.05607	104858488.207939	160620599.016371	185397066.987951	140227311.506702	181618494.720414	222119241.903024	248229093.789624	226834070.838133	248616958.296562	267257510.392853	"sp|P04344|CRGB_MOUSE"	0.82971788038065	1.00935579737322	1.47642186449418	1.89953708281363	2.08753468165087	13.7425045077515	14.0364392623096	2.2479163818542e-05	6.13842975996047e-05
69124904.6316964	52931463.99735	45681899.7263117	107244096.780392	67238773.37882	103014559.973284	111732997.888647	97143540.8130884	132974408.955278	134187768.7945	157551158.85343	173634813.082768	159141120.09384	175654922.353474	148010098.124417	179015572.902807	174641669.095402	159832449.547511	"sp|Q9JJV1|CRBA2_MOUSE"	0.726262545815765	1.02715555856854	1.47217794060416	1.5252321589326	1.61412344808355	13.4690778317728	21.8766540630358	1.17073610125216e-06	5.02146524493571e-06
21245879.2885058	2919871.29391157	1907516.09422103	30649634.5541846	3684765.67343928	7859455.23719136	26677552.9797692	16535400.7390736	20682836.4691308	97523407.9937233	78911101.8999172	103480038.696511	239837943.890975	223664683.48438	216632327.139439	410226908.622385	392671345.675903	392526542.319191	"sp|P62696|CRBB2_MOUSE"	0.694461674199953	1.29314963561329	3.42434331701557	4.70517788178359	5.51880831130605	13.4938088390608	17.1044770847462	6.32094859545924e-06	2.05648626202958e-05
27206795.0662509	15551671.5095282	45079502.3706172	113288600.984889	65390292.4965089	91014723.1355632	97773473.2830746	128774763.65567	92956795.5957685	137727441.53279	132813363.786817	111378814.950251	131379862.690845	135584403.3375	146113574.485666	145627753.179005	129899441.573836	151088478.1296	"sp|A2AMT1|BFSP1_MOUSE"	1.61840476100087	1.8629220413077	2.12035242284482	2.23349705424923	2.28002035331909	13.2249243577232	15.4080949877629	1.24364807295838e-05	3.69012616061464e-05
63740977.6051736	60268285.5967694	53919265.9719915	80584168.035184	75737970.1395172	82147701.7800601	105174324.980245	116192816.973675	98949920.2507949	104887272.316386	102679610.994901	110060880.745352	119263355.188748	102410274.853239	112338930.301754	115679427.846791	99380561.4160496	126984601.185912	"sp|Q9CXV3|CRGF_MOUSE_family"	0.422508964305402	0.84820279585879	0.836039172975252	0.908604503563424	0.942886561460318	13.0910564264225	25.1331137599401	4.47944575143082e-07	2.33249571051833e-06
20848615.6001459	6690814.52233419	40159832.2989385	104712877.246761	60851253.1785183	83918153.8262646	95425786.8727116	117321220.989416	90286470.1804498	131332244.435995	128560416.129189	109771456.448514	136478762.336934	133986617.038898	136047835.28946	134955383.175794	130762657.366558	146910738.287638	"sp|Q6NVD9|BFSP2_MOUSE"	1.88172533037656	2.1622651429456	2.44900296552062	2.58609020726481	2.60763240148884	13.1551598297445	9.81060402119407	0.000193832704028404	0.000417856498943018
65417224.8120247	43997740.8967186	49689514.4521331	88155479.2056521	66630709.6854581	82306452.3357692	95575565.7155602	79471029.197285	106673585.794511	107407032.586616	134291981.978423	128928441.261773	114030596.762466	128127775.807759	113135232.32912	123591312.094564	126203618.99746	117946188.94571	"sp|Q9JJV0|CRBA4_MOUSE"	0.575476426924246	0.824288453530642	1.21999529893563	1.15903726134114	1.20871604484435	13.1249867608563	19.3690940655816	2.6750488442917e-06	9.90957501255051e-06
42606526.3751035	32815339.597103	32462433.3108285	74893001.6384283	40880769.0503598	65411725.4963154	69643287.3068608	69859810.2675709	73130510.597696	94198566.0146938	102512536.628365	106494884.701225	129857671.754437	142063766.205652	133089114.498217	175069185.610143	157525158.958562	158648066.914735	"sp|Q61597|CRGC_MOUSE"	0.747982554543976	0.978884723099713	1.4908133219672	1.90847457692723	2.18695020078689	13.0664714031189	46.4955581730001	5.21571824120411e-09	1.04535786824888e-07
89333247.3591535	95300076.5788268	96936324.184413	92862833.1014139	89326807.559242	86864341.0791896	98861494.4684061	107411927.101306	93915462.8103112	94285526.3580938	85314092.9982568	82674512.2810268	87612323.2667524	87376309.0634919	93140076.1123376	84145789.4790111	76545221.7540252	90774930.9112313	"sp|P16546|SPTN1_MOUSE"	-0.0655961695853412	0.0923787297087226	-0.102416306429367	-0.0705661307455173	-0.163128808260123	13.0071937696082	2.15599071965937	0.110516316426061	0.132389012826144
132530022.308797	145769634.579728	131832530.956253	91351950.9701855	114093862.289154	88442347.8914322	82676240.9263363	89271182.4011773	83842747.6594177	67378054.8911229	60948519.0329207	63501121.4187048	54683100.8565603	52043560.8004117	64419466.6174943	51547112.3488695	48030634.4140865	56926870.9443248	"sp|P63017|HSP7C_MOUSE"	-0.480821729639773	-0.681128144115903	-1.09627794528913	-1.26086031674386	-1.38988374647544	12.8648544648262	49.2201765306415	3.40973148303446e-09	8.32640751230657e-08
122463864.470158	121986105.060825	120293263.373283	85968978.2702836	106964908.840898	88533980.323471	87930001.5818708	91942760.247258	82884782.1468669	68491370.5588271	61393248.3327407	64772850.2697534	56999043.6589157	53069885.9507735	63561482.8079865	47227028.1981808	57851621.3987734	57039729.933153	"sp|P17182|ENOA_MOUSE"	-0.373910979077183	-0.473149025588004	-0.905943507321692	-1.0708615443113	-1.1698335516418	12.8253929839862	39.3776175656376	1.78320309764415e-08	2.25366700052009e-07
15501081.5219317	4600889.72343458	3523995.32574003	32563603.4139462	7749614.00941301	25131128.1823937	44430898.4855626	37120516.6116702	36304946.2369128	90628354.0346204	87766905.5985289	85022679.3523987	148849546.31349	136856871.445244	140470117.054602	213559793.403578	207726364.905494	213853413.454293	"sp|O35486|CRYGS_MOUSE"	1.4698952710585	2.31858444103978	3.47890840590157	4.17300596822353	4.74862846548049	12.9150473305672	24.6465467017828	5.3633799936566e-07	2.66919467988349e-06
135716179.210199	114079443.302511	108420044.469951	92236749.2675253	157927777.349425	137462544.634271	83801015.4402829	71581907.5940591	112935017.449026	55361695.9379653	39869004.4755302	51454170.1997264	40065800.2527844	31549566.8531358	28956435.8333255	21857403.9292269	68437007.848353	18231351.205027	"sp|P10854|H2B1M_MOUSE_family"	0.113840893908089	-0.416884915238392	-1.28810835696098	-1.83260255190511	-1.72279087230364	12.7540665629434	10.7607296340166	0.000113349800270719	0.000258104663103046
80421398.2659903	90673725.0861818	113266149.791597	87652499.2148483	92348451.2740711	72423820.5507984	78625920.8132294	85153008.9869891	68319867.7754774	68310023.5872813	61331744.0514666	58996454.886494	59473878.0676628	58310308.1744839	56113231.1519449	53084712.808148	50066120.0378985	52837447.0358995	"sp|P58252|EF2_MOUSE"	-0.171871508764077	-0.292985951646565	-0.592102969962926	-0.709488492477732	-0.866287362262338	12.6644207697291	14.8232267407307	1.54561754784454e-05	4.46453362392348e-05
91105012.7614394	111315915.921723	109282730.996051	80038371.354256	87762086.6346167	69827016.3786337	66107100.9302339	76250637.7986588	60462882.2879461	61548088.0765288	50358795.1333334	50926645.195761	58789064.8054715	50868201.4446957	59732899.796562	50150478.1702951	44976452.1087164	53987199.6939379	"sp|P10126|EF1A1_MOUSE"	-0.391473444806224	-0.619970752788693	-0.936777302168781	-0.879824971709159	-1.06375811943262	12.6026961067379	21.6520721983811	1.25645488517176e-06	5.31740717838126e-06
73989561.1399239	84468240.8682065	76080258.8978695	72243927.9058034	78230456.1958214	69351578.8536123	75517537.9581953	81162972.658428	82509782.7813874	69260550.9177176	67362342.3452654	72818826.9532613	68544838.3721959	60811994.503767	63383821.7711585	62056512.5687033	49553543.6901214	60730206.921171	"sp|P20152|VIME_MOUSE_family"	-0.0934602744210832	0.0283367816826785	-0.163273210929052	-0.283161151696007	-0.444562269170668	12.6425928784504	6.97363871586909	0.00121443115371988	0.00216447901516601
76468625.5723386	78998792.176473	73980621.9730472	71421295.0487584	85777577.5118744	80788374.7813592	70731338.7533475	71768028.8878169	73429954.738844	64056324.2689948	60724451.1954427	62982832.059779	52711245.6181787	46517941.4417311	52601561.5703761	48811855.3423932	52321757.4074685	47833173.410956	"sp|P52480|KPYM_MOUSE"	0.0527167870211978	-0.0876083117288635	-0.289250014504506	-0.595703486216135	-0.623176778614746	12.5288317507936	25.2535779880595	4.33213499863048e-07	2.2837768745882e-06
88695124.1714302	90733969.5212995	89239760.1253842	73825811.3660685	77170877.3761408	69906413.1386846	70739516.4811608	77578337.342077	68431342.166055	58408868.949288	51487244.5310981	54237085.8222561	49691714.5896559	50681358.5165209	57988907.6711808	45779424.1193378	52267878.52899	53027653.2750576	"sp|P16858|G3P_MOUSE_family"	-0.282415405526653	-0.309802440098367	-0.710961998021749	-0.762603064517059	-0.830564561165664	12.5386045200653	28.4278734426087	1.88024125111756e-07	1.18699361546719e-06
58912424.6872957	72908772.8336086	74163921.3080786	56254153.8154978	78191165.5925014	62353261.3603466	62093791.9033583	53792221.6077699	58974114.8901838	57729672.4709251	44589109.2587687	49044698.5231586	56669028.5382752	42254037.0482156	44821435.110872	44647705.629623	49680006.2357808	40936733.0230463	"sp|P68368|TBA4A_MOUSE_family"	-0.0658203003233958	-0.236338752934727	-0.444522949324432	-0.519033350887088	-0.606757447608629	12.3114694904302	5.893961401722	0.00278733234060932	0.00455514427509576
91723753.4725888	75337531.6224597	67311120.4795193	51401439.5185672	96328830.1949719	71085737.1807449	61583028.999065	56278125.1595759	94120208.8598117	39591870.3863352	24079008.7154922	37500545.5634216	31487639.724875	21817141.2603671	24934314.4764074	14355182.8729667	43495793.6929602	15345844.4565422	"sp|P62806|H4_MOUSE"	-0.0990844402766001	-0.144865287389328	-1.21200084864178	-1.58284111518097	-1.67894982447864	12.1761663334356	9.19007648523865	0.000280738696709158	0.000585883458898435
44729477.2561435	45408610.3965911	49843884.0619692	57105989.9310564	38120132.3026459	52000600.0840823	52594314.4294043	60202972.1857217	50965573.4742198	56805234.5260917	61142761.9510671	50887295.1122828	55891507.3546802	56770419.2575093	56751225.350927	50397797.6133594	50245358.1430302	55477720.0464919	"sp|Q62261|SPTB2_MOUSE"	0.0727985157554257	0.226367168421377	0.270375465854617	0.275304842847028	0.157422424796866	12.2188571312907	1.6411015640282	0.205620807694875	0.234860970939657
73839208.8747186	86506898.8408536	78218614.4495558	59176742.8499138	69090778.5371415	57741515.1066085	48432476.4930295	50448107.6092164	48147541.697768	41748885.7339395	37180039.4979399	41711651.9350954	38563314.0337677	38301143.0192567	38918138.2691451	34586497.4929405	31105065.7640439	35213102.4961314	"sp|P11499|HS90B_MOUSE"	-0.359008009349985	-0.698288556293926	-0.983665481932627	-1.04296231708368	-1.24138783158631	12.1621912501091	56.059152574783	1.28289347937794e-09	4.75704093665819e-08
39967276.4213217	45151028.2581938	47237231.3770025	49608567.0082857	38126125.0618544	45220646.6273931	46988424.1979755	54479186.3659506	46798949.9294957	48613505.1212353	46124627.0500925	44249401.1114053	44051628.3873973	44268888.4269775	43728818.9342167	38766363.2924421	36071649.9237923	40334134.4508735	"sp|Q9QXS1|PLEC_MOUSE"	0.00652316703451165	0.163774712474885	0.0705369424080436	-0.0033414972698438	-0.200626672136888	11.9776373500476	2.7610576463555	0.0550431100330005	0.0696688038517185
47364448.2994917	48474245.4790889	40414249.8614061	45493441.796919	44927095.324967	48326907.6906456	45573947.6780419	48940292.2565432	47061784.887089	36461748.4309209	32990761.5300192	36982821.2295672	29611525.6331997	29060658.6837118	35315729.5064933	28393565.0216178	33935441.4601079	32641898.1892291	"sp|P09411|PGK1_MOUSE"	0.0261738060477812	0.055289575975796	-0.356310263147918	-0.535740243670383	-0.520729895875139	11.8098401075563	15.5105529448576	1.15561375315152e-05	3.45545590228066e-05
21949350.1914846	21919470.5510738	39179594.3536554	46874956.2908489	19428525.097621	33499565.943007	35645022.3237604	50077123.6548003	31410022.5491865	45586338.8507098	46088418.5973541	34746242.7782718	40354156.3775382	45095094.9148071	43488630.4355047	38095200.3494211	36735081.3047829	40480991.3426015	"sp|Q8BKC5|IPO5_MOUSE_family"	0.265131220205791	0.496112792130171	0.606211582156492	0.634651633410948	0.473509006632191	11.7235907113433	1.53162410239174	0.235367509334491	0.265624580919589
57674857.600169	63070602.418154	66996622.6703811	48257168.7334679	42341220.2207419	37718442.9978984	36793293.6040148	47367104.772656	36077722.5853478	35041537.3165596	28044444.6483077	25194107.8788281	28158939.296933	30234810.9815312	34426386.8113396	29456651.5559838	33663017.9848362	34683964.7569128	"sp|P62983|RS27A_MOUSE_family"	-0.549041640996064	-0.64285769896508	-1.08859206131573	-1.01624233563262	-0.940792088693329	11.8163710598302	18.1475016993415	4.13420315614295e-06	1.42583029305612e-05
30887920.2043827	38898762.6183362	48193398.1370561	41348041.7366209	43468155.1223429	35876071.8992132	39062668.3848951	41865739.2977962	35115608.5745722	37978325.85178	32559296.4201082	30686921.0791952	33755648.2100605	30138969.0660288	29577865.1282443	28429832.6025366	24617094.1298099	27437197.2432043	"sp|Q9D8N0|EF1G_MOUSE"	0.032789953416423	-0.023871176068831	-0.220984172578527	-0.335929692825145	-0.551767170636187	11.6331396461831	5.38711330840705	0.00424195439175821	0.0066879644566162
31044693.9049353	35837873.8724846	31367107.7589701	36412223.9015419	31864890.4473869	37190265.5553251	40269058.094389	45961091.7440066	38451948.4867822	40987357.5436079	36418838.1279276	40033225.1539792	37182638.3471842	33461032.8896822	37670759.2088944	32616606.2980406	29184453.4334758	34444520.2596867	"sp|P13020|GELS_MOUSE"	0.102272307442369	0.343729790942013	0.25739220947716	0.140700913197299	-0.0297323554496235	11.6793466410754	4.18406584814687	0.0125711581538759	0.0180699766562309
23908262.7139987	23071810.0938399	27114394.8759157	39213543.8140202	28535239.5377696	36759662.0327652	37047927.3737321	40279906.306886	37430569.4182042	38389228.0617845	46215317.4841431	40239618.2665867	36577703.4423076	38446076.1690391	38040931.2677607	29924294.1410538	24780797.7004396	26702769.7878064	"sp|P28236|CXA8_MOUSE"	0.496181796345609	0.631162061247439	0.752690642528232	0.609710976769833	0.135802296260291	11.5931516991352	13.0451891507146	3.45496184479669e-05	8.96223008457944e-05
