"accessions"	"IRSNorm_E15_1_tmm_Y_O"	"IRSNorm_E15_2_tmm_Y_O"	"IRSNorm_E15_3_tmm_Y_O"	"IRSNorm_E18_1_tmm_Y_O"	"IRSNorm_E18_2_tmm_Y_O"	"IRSNorm_E18_3_tmm_Y_O"	"IRSNorm_P6_1_tmm_Y_O"	"IRSNorm_P6_2_tmm_Y_O"	"IRSNorm_P6_3_tmm_Y_O"	"IRSNorm_P9_1_tmm_Y_O"	"IRSNorm_P9_2_tmm_Y_O"	"IRSNorm_P9_3_tmm_Y_O"	"logFC_Y_O"	"FC_Y_O"	"PValue_Y_O"	"FDR_Y_O"	"ave_young_Y_O"	"ave_old_Y_O"	"direction_Y_O"	"candidate_Y_O"	"Acc_Y_O"
"sp|P24622|CRYAA_MOUSE"	589221203.300561	425555976.214748	416235797.031359	958625095.261413	674486832.934057	1117068904.21677	2141922988.90517	2327457513.29902	2272348746.8373	2607219959.62847	2349432358.58502	2569587055.98458	1.77079312622374	3.4124150362674	3.3655252587264e-14	1.43538906774277e-12	696865634.826485	2377994770.53993	"up"	"high"	"sp|P24622|CRYAA_MOUSE"
"sp|Q9WVJ5|CRBB1_MOUSE"	403782801.38512	316377700.232352	313257133.145232	648824870.756279	380731980.951305	776174860.10779	1112117462.93277	1229328230.08303	1228093972.90249	1358333413.60083	1242496215.87676	1346728873.05876	1.4047171050567	2.64765859447116	1.03199339495808e-10	1.61805901667043e-09	473191557.763013	1252849694.74244	"up"	"high"	"sp|Q9WVJ5|CRBB1_MOUSE"
"sp|P02525|CRBA1_MOUSE"	218446961.065573	148824148.170397	152545153.215376	372518566.399959	231929413.288491	404906922.598559	786359110.130122	936806048.395799	829690506.560364	999878804.075732	918758033.252992	913590572.3389	1.81621870171741	3.52156985361107	1.45983243021245e-13	5.37660401946974e-12	254861860.789726	897513845.792318	"up"	"high"	"sp|P02525|CRBA1_MOUSE"
"sp|Q9JJU9|CRBB3_MOUSE"	234841800.684546	185036962.536308	219913168.73262	408845744.186193	242076311.127788	354087197.26135	681464633.58464	834508010.852402	795998518.910964	893426379.676277	774754994.651218	964964833.25195	1.58809155633299	3.00651374612434	9.72986403873672e-18	1.0572441605234e-15	274133530.754801	824186228.487908	"up"	"high"	"sp|Q9JJU9|CRBB3_MOUSE"
"sp|P04345|CRGA_MOUSE"	180508435.238762	147999569.830827	122248286.540986	314863271.048515	202394236.142249	348241189.802321	637490296.1488	707761952.981486	682097880.688561	779193443.337946	683401991.294805	760713683.606201	1.69124761363054	3.22935850945346	9.79203195481294e-14	3.71485212285716e-12	219375831.433943	708443208.009633	"up"	"high"	"sp|P04345|CRGA_MOUSE"
"sp|P23927|CRYAB_MOUSE"	30386153.6161801	13498114.8426513	18336695.0687919	87928042.2569037	34912916.3864585	81261667.9647109	420307893.585206	437459893.198749	424269020.239321	632684870.879826	549380854.684372	610753052.008991	3.52926652859984	11.5455622351357	2.25439552939344e-16	1.80734464233825e-14	44387265.0226161	512475930.766077	"up"	"high"	"sp|P23927|CRYAB_MOUSE"
"sp|P04344|CRGB_MOUSE"	62328996.0981614	24894509.4022515	33048944.4855979	122494374.646874	43862535.8872815	87121335.9918918	222402466.992051	291886609.389924	326977172.538071	331881754.00295	336812805.278115	401155215.149733	2.35426719754532	5.11334437951793	5.39315755900399e-13	1.52384399517621e-11	62291782.7520098	318519337.225141	"up"	"high"	"sp|P04344|CRGB_MOUSE"
"sp|Q9JJV1|CRBA2_MOUSE"	49237487.1920357	34980822.5967862	30454992.6352135	90060928.6392503	47401677.8493586	87559642.345339	194877607.389232	230827906.97976	194964750.718626	261918335.765453	236595085.425788	239909518.695626	2.00033017448072	4.00091552550924	2.18602839455103e-14	9.96430679692257e-13	56615925.2096639	226515534.162414	"up"	"high"	"sp|Q9JJV1|CRBA2_MOUSE"
"sp|P62696|CRBB2_MOUSE"	15133383.7626977	1929655.6721515	1271693.79883719	25738801.792102	2597668.97320828	6680328.39024062	293695586.904666	293917472.179332	285356662.778733	600204481.935867	531969896.163203	589184825.169452	5.60368788181782	48.627074217921	2.63889327452039e-13	8.89893454241043e-12	8891922.06487287	432388154.188542	"up"	"high"	"sp|P62696|CRBB2_MOUSE"
"sp|A2AMT1|BFSP1_MOUSE"	19379328.3440801	10277634.9088991	30053389.218082	95136953.1307015	46098544.3909245	77360099.465325	160882324.349738	178171289.606766	192466574.829638	213068495.301334	175980736.070125	226784762.23786	2.04356716175377	4.12263620174085	8.05265248119052e-08	6.06661709088272e-07	46384324.9096687	191225697.06591	"up"	"high"	"sp|A2AMT1|BFSP1_MOUSE"
