"accessions"	"IRSNorm_E15_1_tmm_Y_O"	"IRSNorm_E15_2_tmm_Y_O"	"IRSNorm_E15_3_tmm_Y_O"	"IRSNorm_E18_1_tmm_Y_O"	"IRSNorm_E18_2_tmm_Y_O"	"IRSNorm_E18_3_tmm_Y_O"	"IRSNorm_P6_1_tmm_Y_O"	"IRSNorm_P6_2_tmm_Y_O"	"IRSNorm_P6_3_tmm_Y_O"	"IRSNorm_P9_1_tmm_Y_O"	"IRSNorm_P9_2_tmm_Y_O"	"IRSNorm_P9_3_tmm_Y_O"	"logFC_Y_O"	"FC_Y_O"	"PValue_Y_O"	"FDR_Y_O"	"ave_young_Y_O"	"ave_old_Y_O"	"direction_Y_O"	"candidate_Y_O"	"Acc_Y_O"
"sp|P24622|CRYAA_MOUSE"	827212390.556618	643932851.251403	624345642.444929	1141525898.58509	956752363.297722	1314239740.42598	1749139001.52875	1771143594.06896	1725083943.39282	1781979002.70137	1734223632.71673	1711909538.71511	0.92713791344706	1.90149996647184	2.44014722891106e-08	6.00010739331197e-08	918001481.093623	1745579785.52062	"up"	"high"	"sp|P24622|CRYAA_MOUSE"
"sp|Q9WVJ5|CRBB1_MOUSE"	566873925.324533	478729017.966308	469879638.990496	772617363.425525	540064245.54443	913175402.898227	908178323.297805	935491542.714994	932323965.051687	928391796.313675	917143365.826593	897217316.876991	0.560785645576045	1.47507227590664	0.000226505671744633	0.000344460486486379	623556599.02492	919791051.680291	"up"	"high"	"sp|Q9WVJ5|CRBB1_MOUSE"
"sp|P02525|CRBA1_MOUSE"	306679447.142545	225194248.048968	228814778.463032	443593218.403469	328989393.783633	476375957.511522	642157255.821364	712888644.377206	629870645.007653	683395747.84592	678177385.355878	608652044.547247	0.97678724944481	1.9680777955695	4.96242834687467e-08	1.17075835901557e-07	334941173.892195	659190287.159211	"up"	"high"	"sp|P02525|CRBA1_MOUSE"
"sp|Q9JJU9|CRBB3_MOUSE"	329696294.462421	279989908.572631	329865498.33945	486851437.357338	343382659.914059	416586178.757881	556498237.770287	635042104.603427	604292921.959699	610637795.696184	571882146.927893	642878589.663381	0.72794165289777	1.65627433668489	6.3604485814485e-09	1.70293295668397e-08	364395329.567297	603538632.770145	"up"	"high"	"sp|Q9JJU9|CRBB3_MOUSE"
"sp|P04345|CRGA_MOUSE"	253417245.328361	223946531.858958	183370064.618621	374937585.28936	287094060.686972	409708308.201749	520587876.345608	538591163.098001	517823729.05384	532562030.274062	504450310.994657	506802448.340312	0.849090488575025	1.80136494147313	1.92241492112482e-07	4.24991727360009e-07	288745632.664003	520136259.684413	"up"	"high"	"sp|P04345|CRGA_MOUSE"
"sp|P23927|CRYAB_MOUSE"	42659365.6709248	20424762.1064102	27504687.83486	104704266.500314	49523598.729207	95604947.0264363	343232195.148183	332897285.159386	322089501.231943	432426558.822192	405523171.618169	406895720.111313	2.72007645657708	6.58907733371142	1.44996885574742e-15	1.36002597529156e-14	56736937.9780253	373844072.015198	"up"	"high"	"sp|P23927|CRYAB_MOUSE"
"sp|P04344|CRGB_MOUSE"	87504179.3719257	37669292.2103561	49572777.3155292	145865679.69229	62218538.3335578	102498889.340965	181618494.720414	222119241.903024	248229093.789624	226834070.838133	248616958.296562	267257510.392853	1.52289331998132	2.87366785449543	1.1406932222989e-09	3.41324331094931e-09	80888226.044104	232445894.990102	"up"	"high"	"sp|P04344|CRGB_MOUSE"
"sp|Q9JJV1|CRBA2_MOUSE"	69124904.6316964	52931463.99735	45681899.7263117	107244096.780392	67238773.37882	103014559.973284	159141120.09384	175654922.353474	148010098.124417	179015572.902807	174641669.095402	159832449.547511	1.16200491622888	2.23768182897542	1.93741737930185e-09	5.5584648512178e-09	74205949.7479758	166049305.352908	"up"	"high"	"sp|Q9JJV1|CRBA2_MOUSE"
"sp|P62696|CRBB2_MOUSE"	21245879.2885058	2919871.29391157	1907516.09422103	30649634.5541846	3684765.67343928	7859455.23719136	239837943.890975	223664683.48438	216632327.139439	410226908.622385	392671345.675903	392526542.319191	4.77998646605675	27.4738364867058	9.97629303519797e-13	4.86115471405461e-12	11377853.6902423	312593291.855379	"up"	"high"	"sp|P62696|CRBB2_MOUSE"
"sp|A2AMT1|BFSP1_MOUSE"	27206795.0662509	15551671.5095282	45079502.3706172	113288600.984889	65390292.4965089	91014723.1355632	131379862.690845	135584403.3375	146113574.485666	145627753.179005	129899441.573836	151088478.1296	1.23179214072116	2.34858554405301	0.000109817651083707	0.000172820444242471	59588597.5938929	139948918.899409	"up"	"high"	"sp|A2AMT1|BFSP1_MOUSE"
"sp|Q9CXV3|CRGF_MOUSE_family"	63740977.6051736	60268285.5967694	53919265.9719915	80584168.035184	75737970.1395172	82147701.7800601	119263355.188748	102410274.853239	112338930.301754	115679427.846791	99380561.4160496	126984601.185912	0.699180791742063	1.62358260962243	4.27182063309686e-09	1.17405988810016e-08	69399728.188116	112676191.798749	"up"	"high"	"sp|Q9CXV3|CRGF_MOUSE_family"
"sp|Q6NVD9|BFSP2_MOUSE"	20848615.6001459	6690814.52233419	40159832.2989385	104712877.246761	60851253.1785183	83918153.8262646	136478762.336934	133986617.038898	136047835.28946	134955383.175794	130762657.366558	146910738.287638	1.36880471514094	2.58256510218698	0.000454703986734813	0.000669864582878393	52863591.1121604	136523665.582547	"up"	"high"	"sp|Q6NVD9|BFSP2_MOUSE"
"sp|Q9JJV0|CRBA4_MOUSE"	65417224.8120247	43997740.8967186	49689514.4521331	88155479.2056521	66630709.6854581	82306452.3357692	114030596.762466	128127775.807759	113135232.32912	123591312.094564	126203618.99746	117946188.94571	0.867846537575039	1.82493684558967	1.21953521614273e-07	2.76510412667581e-07	66032853.564626	120505787.489513	"up"	"high"	"sp|Q9JJV0|CRBA4_MOUSE"
"sp|Q61597|CRGC_MOUSE"	42606526.3751035	32815339.597103	32462433.3108285	74893001.6384283	40880769.0503598	65411725.4963154	129857671.754437	142063766.205652	133089114.498217	175069185.610143	157525158.958562	158648066.914735	1.63248811117243	3.10047254328421	4.92047523254704e-16	5.43041539301101e-15	48178299.2446897	149375493.990291	"up"	"high"	"sp|Q61597|CRGC_MOUSE"
"sp|P16546|SPTN1_MOUSE"	89333247.3591535	95300076.5788268	96936324.184413	92862833.1014139	89326807.559242	86864341.0791896	87612323.2667524	87376309.0634919	93140076.1123376	84145789.4790111	76545221.7540252	90774930.9112313	-0.0836799467177277	-1.05971766499202	0.393934956820711	0.417726386706065	91770604.9770398	86599108.4311416	"down"	"no"	"sp|P16546|SPTN1_MOUSE"
"sp|P63017|HSP7C_MOUSE"	132530022.308797	145769634.579728	131832530.956253	91351950.9701855	114093862.289154	88442347.8914322	54683100.8565603	52043560.8004117	64419466.6174943	51547112.3488695	48030634.4140865	56926870.9443248	-1.10345831132463	-2.14869142716608	3.93473890652404e-14	2.6001097377637e-13	117336724.832592	54608457.6636245	"down"	"high"	"sp|P63017|HSP7C_MOUSE"
"sp|P17182|ENOA_MOUSE"	122463864.470158	121986105.060825	120293263.373283	85968978.2702836	106964908.840898	88533980.323471	56999043.6589157	53069885.9507735	63561482.8079865	47227028.1981808	57851621.3987734	57039729.933153	-0.944623323349901	-1.92468630070133	4.02775881547579e-12	1.76979805656222e-11	107701850.056486	55958131.9912971	"down"	"high"	"sp|P17182|ENOA_MOUSE"
"sp|O35486|CRYGS_MOUSE"	15501081.5219317	4600889.72343458	3523995.32574003	32563603.4139462	7749614.00941301	25131128.1823937	148849546.31349	136856871.445244	140470117.054602	213559793.403578	207726364.905494	213853413.454293	3.57476594711867	11.9154865480806	1.85363050470144e-14	1.33041824568858e-13	14845052.0294765	176886017.762784	"up"	"high"	"sp|O35486|CRYGS_MOUSE"
"sp|P10854|H2B1M_MOUSE_family"	135716179.210199	114079443.302511	108420044.469951	92236749.2675253	157927777.349425	137462544.634271	40065800.2527844	31549566.8531358	28956435.8333255	21857403.9292269	68437007.848353	18231351.205027	-1.83469519743443	-3.56696040408539	2.19941231186914e-10	7.29531843335828e-10	124307123.03898	34849594.3203088	"down"	"high"	"sp|P10854|H2B1M_MOUSE_family"
"sp|P58252|EF2_MOUSE"	80421398.2659903	90673725.0861818	113266149.791597	87652499.2148483	92348451.2740711	72423820.5507984	59473878.0676628	58310308.1744839	56113231.1519449	53084712.808148	50066120.0378985	52837447.0358995	-0.702380933881357	-1.62718798849385	1.28104162655788e-08	3.2849401757661e-08	89464340.6972478	54980949.5460063	"down"	"high"	"sp|P58252|EF2_MOUSE"
"sp|P10126|EF1A1_MOUSE"	91105012.7614394	111315915.921723	109282730.996051	80038371.354256	87762086.6346167	69827016.3786337	58789064.8054715	50868201.4446957	59732899.796562	50150478.1702951	44976452.1087164	53987199.6939379	-0.786363227820272	-1.7247212703617	1.2775210906646e-08	3.27987136811715e-08	91555189.0077866	53084049.3366131	"down"	"high"	"sp|P10126|EF1A1_MOUSE"
"sp|P20152|VIME_MOUSE_family"	73989561.1399239	84468240.8682065	76080258.8978695	72243927.9058034	78230456.1958214	69351578.8536123	68544838.3721959	60811994.503767	63383821.7711585	62056512.5687033	49553543.6901214	60730206.921171	-0.315632343100434	-1.24455703290524	0.00247382460298519	0.00335502098247177	75727337.3102061	60846819.6378528	"down"	"high"	"sp|P20152|VIME_MOUSE_family"
"sp|P52480|KPYM_MOUSE"	76468625.5723386	78998792.176473	73980621.9730472	71421295.0487584	85777577.5118744	80788374.7813592	52711245.6181787	46517941.4417311	52601561.5703761	48811855.3423932	52321757.4074685	47833173.410956	-0.635973903862635	-1.55398642940499	4.1392054549223e-11	1.5148565011167e-10	77905881.1773085	50132922.4651839	"down"	"high"	"sp|P52480|KPYM_MOUSE"
"sp|P16858|G3P_MOUSE_family"	88695124.1714302	90733969.5212995	89239760.1253842	73825811.3660685	77170877.3761408	69906413.1386846	49691714.5896559	50681358.5165209	57988907.6711808	45779424.1193378	52267878.52899	53027653.2750576	-0.661875499935233	-1.58213806315073	5.41979720909255e-08	1.27160233801404e-07	81595325.9498346	51572822.7834572	"down"	"high"	"sp|P16858|G3P_MOUSE_family"
"sp|P68368|TBA4A_MOUSE_family"	58912424.6872957	72908772.8336086	74163921.3080786	56254153.8154978	78191165.5925014	62353261.3603466	56669028.5382752	42254037.0482156	44821435.110872	44647705.629623	49680006.2357808	40936733.0230463	-0.529693919647829	-1.44362288725774	1.92224786844826e-05	3.35013584620044e-05	67130616.5995548	46501490.9309688	"down"	"high"	"sp|P68368|TBA4A_MOUSE_family"
"sp|P62806|H4_MOUSE"	91723753.4725888	75337531.6224597	67311120.4795193	51401439.5185672	96328830.1949719	71085737.1807449	31487639.724875	21817141.2603671	24934314.4764074	14355182.8729667	43495793.6929602	15345844.4565422	-1.58140355508472	-2.99260851052055	1.22922786602204e-07	2.78410938311708e-07	75531402.078142	25239319.4140198	"down"	"high"	"sp|P62806|H4_MOUSE"
"sp|Q62261|SPTB2_MOUSE"	44729477.2561435	45408610.3965911	49843884.0619692	57105989.9310564	38120132.3026459	52000600.0840823	55891507.3546802	56770419.2575093	56751225.350927	50397797.6133594	50245358.1430302	55477720.0464919	0.18070893160287	1.13344071586208	0.0991015901119112	0.11273966703762	47868115.6720814	54255671.294333	"up"	"no"	"sp|Q62261|SPTB2_MOUSE"
