Program "PAW_protein_grouper.py" run on Tue Aug 29 11:02:42 2023


	=SUBTOTAL(109,B6:B5859)																					
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_Set1	Total_Set2	Total_Set3	Unique_Set1	Unique_Set2	Unique_Set3	Corrected_Set1	Corrected_Set2	Corrected_Set3
1	1	CONT_005|Trypa5|PromTArt5	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	110	63	0.573	56	30	24	35	16	12	39.016	18.909	13.778
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG, CONT_011|gi|136425|sp|P00760|TRYP_BOVIN	contaminant	84.4	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	328	278	0.848	170	75	83	148	61	69	165.886	72.091	81.014
3	1	CONT_011|gi|136425|sp|P00760|TRYP_BOVIN	 	 	CONT_010|gi|136429|sp|P00761|TRYP_PIG, CONT_011|gi|136425|sp|P00760|TRYP_BOVIN	contaminant	35.4	229	23993	TRYPSINOGEN [Bos taurus].	32	29	0.906	17	5	10	16	5	8	16.098	5.000	8.208
4	1	CONT_014|gi|114054|sp|P15636|API_ACHLY	 	 	 	contaminant	35.7	653	68124	PROTEASE I PRECURSOR (API) (LYSYL ENDOPEPTIDASE) [Achromobacter lyticus].	557	557	1.000	209	166	182	209	166	182	209.000	166.000	182.000
5	1	CONT_019|CAS1_BOVIN	 	 	 	contaminant	33.2	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	44	44	1.000	21	11	12	21	11	12	21.000	11.000	12.000
6	1	CONT_020|CAS2_BOVIN	 	 	 	contaminant	15.8	222	26018	ALPHA-S2 CASEIN PRECURSOR [Bos taurus].	7	7	1.000	4	2	1	4	2	1	4.000	2.000	1.000
7	1	CONT_021|CASB_BOVIN	 	 	 	contaminant	17.9	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	12	12	1.000	6	3	3	6	3	3	6.000	3.000	3.000
8	1	CONT_022|CASK_BOVIN	 	 	 	contaminant	15.3	190	21269	KAPPA CASEIN PRECURSOR [Bos taurus].	7	7	1.000	4	1	2	4	1	2	4.000	1.000	2.000
9	1	CONT_025|gi|346581|pir||S29094 (+2)	CONT_025|gi|346581|pir||S29094&CONT_110|gi|125117|sp|P25691|K2M3_SHEEP&CONT_173|gi|1903218|gnl|PID|e255345	 	CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, sp|P03995|GFAP_MOUSE, sp|P07744|K2C4_MOUSE, sp|P11679|K2C8_MOUSE, sp|P20152|VIME_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q99M73|KRT84_MOUSE, sp|Q9DCV7|K2C7_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE	contaminant	4.6	503	55342	keratin, type II, component 5, cytoskeletal [sheep, wool, Peptide, 503 aa].	19	2	0.105	10	6	3	1	1	0	1.015	1.008	0.005
