New PAW TMT results file!																																																										
"Program ""PAW_protein_grouper.py"" run on Tue Aug 29 11:02:42 2023"																																																										
 																																																										
 																								E15	E18	P0	P3	P6	P9	unused	unused	unused	unused	Pool		E15	E18	P0	P3	P6	P9	unused	unused	unused	unused	Pool		E15	E18	P0	P3	P6	P9	unused	unused	unused	unused	Pool
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_Set1	Total_Set2	Total_Set3	Unique_Set1	Unique_Set2	Unique_Set3	Corrected_Set1	Corrected_Set2	Corrected_Set3	PSMs_Used_Set1	TotInt_126C_Set1	TotInt_127N_Set1	TotInt_127C_Set1	TotInt_128N_Set1	TotInt_128C_Set1	TotInt_129N_Set1	TotInt_129C_Set1	TotInt_130N_Set1	TotInt_130C_Set1	TotInt_131N_Set1	TotInt_131C_Set1	PSMs_Used_Set2	TotInt_126C_Set2	TotInt_127N_Set2	TotInt_127C_Set2	TotInt_128N_Set2	TotInt_128C_Set2	TotInt_129N_Set2	TotInt_129C_Set2	TotInt_130N_Set2	TotInt_130C_Set2	TotInt_131N_Set2	TotInt_131C_Set2	PSMs_Used_Set3	TotInt_126C_Set3	TotInt_127N_Set3	TotInt_127C_Set3	TotInt_128N_Set3	TotInt_128C_Set3	TotInt_129N_Set3	TotInt_129C_Set3	TotInt_130N_Set3	TotInt_130C_Set3	TotInt_131N_Set3	TotInt_131C_Set3
1	1	CONT_005|Trypa5|PromTArt5	 	 	"CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG"	contaminant	100	50	5560	"Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003)."	110	63	0.573	56	30	24	35	16	12	39.016	18.909	13.778	35	1668154.87	1889401.291	738169.7664	1059568.671	687988.0747	892479.3464	938367.4736	34971.87006	17422.50897	150	1155960.337	16	606075.3513	256944.0959	663154.2905	338839.2856	684049.1405	557995.3804	382572.4995	25726.56799	9122.109252	150	517842.9241	12	622385.4072	298379.5303	295040.7544	257778.1506	562075.8945	608773.0015	389619.5859	30915.46448	13911.30579	150	440738.7898
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	"CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG, CONT_011|gi|136425|sp|P00760|TRYP_BOVIN"	contaminant	84.4	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	328	278	0.848	170	75	83	148	61	69	165.886	72.091	81.014	148	30961779.71	35564577.98	11242817.23	16929607.39	10841319.42	14234274.15	14191244.56	721466.2944	264446.2257	150	19962395.98	61	11346704.9	3385031.188	11606056.1	5284909.782	9403115.116	8344401.361	5937234.187	499849.363	268983.8245	53670.91992	8228369.741	69	11336254.23	3322711.651	3070704.994	2892748.684	8082273.709	8086083.568	6400078.795	348172.9177	212846.1938	150	6131796.14
3	1	CONT_011|gi|136425|sp|P00760|TRYP_BOVIN	 	 	"CONT_010|gi|136429|sp|P00761|TRYP_PIG, CONT_011|gi|136425|sp|P00760|TRYP_BOVIN"	contaminant	35.4	229	23993	TRYPSINOGEN [Bos taurus].	32	29	0.906	17	5	10	16	5	8	16.098	5	8.208	16	246499.5503	380513.7095	144208.4922	233391.248	142451.8105	192491.209	203173.8564	10084.39069	10705.43536	150	223259.3366	5	53827.41333	22917.1842	66282.86963	34797.37476	61014.16455	57378.1709	43535.30542	1726.6604	1437.208252	150	49369.52956	8	164042.3608	49431.35693	51353.06494	59514.42139	125334.3069	129673.3695	109380.2429	4101.101685	1234.162842	150	96558.14675
4	1	CONT_014|gi|114054|sp|P15636|API_ACHLY	 	 	 	contaminant	35.7	653	68124	PROTEASE I PRECURSOR (API) (LYSYL ENDOPEPTIDASE) [Achromobacter lyticus].	557	557	1	209	166	182	209	166	182	209	166	182	209	40261279.04	54285010.87	18940461.25	29688012.16	18983371.97	25465696.93	23803967.85	1290947.029	844711.9454	150	31270638.71	166	85973188.05	29473161.44	88101632.85	53645351.82	90732284.37	83145295.44	55304731.44	4165444.607	2135797.398	11937.43433	71845152.33	182	64377468.39	20540792.29	16875609.03	16299829.75	44599082.47	35742083.41	29576241.57	2170416.294	1279756.453	150	33072477.56
5	1	CONT_019|CAS1_BOVIN	 	 	 	contaminant	33.2	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	44	44	1	21	11	12	21	11	12	21	11	12	21	3996545.775	8410578.888	770809.6628	1908025.353	917921.5699	1490389.729	1143880.225	88275.17078	29997.1969	150	2915711.83	11	1876130.292	139296.0398	946177.5132	509249.9128	904134.5098	863702.2339	762689.2693	42151.90051	31023.9389	150	873115.0837	12	892135.3491	349114.3337	200595.4627	216609.2097	596351.6161	569139.223	381813.2043	20562.12695	6848.390625	150	470657.5324
6	1	CONT_020|CAS2_BOVIN	 	 	 	contaminant	15.8	222	26018	ALPHA-S2 CASEIN PRECURSOR [Bos taurus].	7	7	1	4	2	1	4	2	1	4	2	1	4	352889.8062	854358.623	79950.67236	135661.1536	70347.47247	92339.229	78608.42212	3219.741943	1927.216919	150	264257.8261	2	102305.7852	17990.32324	39165.08008	20514.79004	33727.67578	39594.38672	57060.90625	150	150	150	42216.34017	1	3317.820801	1798.084106	1624.755615	2595.434082	2057.756592	1183.706299	2632.645508	150	150	150	2096.259583
7	1	CONT_021|CASB_BOVIN	 	 	 	contaminant	17.9	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	12	12	1	6	3	3	6	3	3	6	3	3	6	1540171.042	2594096.891	267558.3884	580338.6312	315639.6661	413205.2532	333725.5508	12569.01978	7837.088257	150	951834.9786	3	3680032.766	228468.0103	1706651.832	916688.5752	1692357.162	1555765.943	1520160.402	81796.63208	62505.66309	150	1629994.048	3	2778844.602	517411.5645	348360.0186	424961.1172	1403690.34	1337889.063	856905.5684	68994.20569	24547.10547	150	1135192.784
