New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Tue Aug 29 11:02:42 2023
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_Set1	Total_Set2	Total_Set3	Unique_Set1	Unique_Set2	Unique_Set3	Corrected_Set1	Corrected_Set2	Corrected_Set3	PSMs_Used_Set1	TotInt_126C_Set1	TotInt_127N_Set1	TotInt_127C_Set1	TotInt_128N_Set1	TotInt_128C_Set1	TotInt_129N_Set1	TotInt_129C_Set1	TotInt_130N_Set1	TotInt_130C_Set1	TotInt_131N_Set1	TotInt_131C_Set1	PSMs_Used_Set2	TotInt_126C_Set2	TotInt_127N_Set2	TotInt_127C_Set2	TotInt_128N_Set2	TotInt_128C_Set2	TotInt_129N_Set2	TotInt_129C_Set2	TotInt_130N_Set2	TotInt_130C_Set2	TotInt_131N_Set2	TotInt_131C_Set2	PSMs_Used_Set3	TotInt_126C_Set3	TotInt_127N_Set3	TotInt_127C_Set3	TotInt_128N_Set3	TotInt_128C_Set3	TotInt_129N_Set3	TotInt_129C_Set3	TotInt_130N_Set3	TotInt_130C_Set3	TotInt_131N_Set3	TotInt_131C_Set3
1	1	CONT_005|Trypa5|PromTArt5	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	110	63	0.573	56	30	24	35	16	12	39.016	18.909	13.778	35	1668154.8698720003	1889401.2910169996	738169.766359	1059568.6711439996	687988.074707	892479.3464310003	938367.4736320002	34971.87005800001	17422.508971	150.0	150.0	16	606075.351318	256944.095948	663154.290525	338839.285645	684049.140502	557995.3803719999	382572.49951100006	25726.567993	9122.109252	150.0	150.0	12	622385.4072250001	298379.53027299995	295040.7543930001	257778.150634	562075.894531	608773.0014649999	389619.585938	30915.464478	13911.305785	150.0	150.0
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG, CONT_011|gi|136425|sp|P00760|TRYP_BOVIN	contaminant	84.4	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	328	278	0.848	170	75	83	148	61	69	165.886	72.091	81.014	148	30961779.709715996	35564577.98046901	11242817.228758005	16929607.393311	10841319.422116997	14234274.145018999	14191244.555362003	721466.2943760001	264446.22570600006	150.0	150.0	61	11346704.897457	3385031.187866001	11606056.104488999	5284909.781613999	9403115.116214002	8344401.360598	5937234.1871259995	499849.36303600005	268983.82452200004	53670.919922	3560.5200200000004	69	11336254.232667001	3322711.651127999	3070704.99402	2892748.6841999996	8082273.708986001	8086083.568113002	6400078.794923001	348172.9177210001	212846.19378799998	150.0	150.0
3	1	CONT_011|gi|136425|sp|P00760|TRYP_BOVIN	 	 	CONT_010|gi|136429|sp|P00761|TRYP_PIG, CONT_011|gi|136425|sp|P00760|TRYP_BOVIN	contaminant	35.4	229	23993	TRYPSINOGEN [Bos taurus].	32	29	0.906	17	5	10	16	5	8	16.098	5.000	8.208	16	246499.550293	380513.70947299997	144208.492187	233391.248048	142451.810547	192491.208985	203173.85644600002	10084.390686	10705.435363999999	150.0	150.0	5	53827.413329999996	22917.184203999997	66282.869629	34797.374756	61014.164550999994	57378.170896999996	43535.305420000004	1726.6604	1437.208252	150.0	150.0	8	164042.36083999998	49431.356934	51353.064941	59514.421388	125334.306886	129673.369507	109380.24292100001	4101.101685	1234.162842	150.0	150.0
4	1	CONT_014|gi|114054|sp|P15636|API_ACHLY	 	 	 	contaminant	35.7	653	68124	PROTEASE I PRECURSOR (API) (LYSYL ENDOPEPTIDASE) [Achromobacter lyticus].	557	557	1.000	209	166	182	209	166	182	209.000	166.000	182.000	209	40261279.042968996	54285010.873902984	18940461.246273004	29688012.16437	18983371.974790003	25465696.934934	23803967.848876003	1290947.0291130005	844711.945374	150.0	150.0	166	85973188.04717399	29473161.43627799	88101632.85180902	53645351.821049996	90732284.36950001	83145295.440916	55304731.437804	4165444.607416	2135797.398436	11937.434326	150.0	182	64377468.385862984	20540792.292848	16875609.033814	16299829.745788999	44599082.46630701	35742083.414555	29576241.567992996	2170416.294312	1279756.4525750002	150.0	150.0
5	1	CONT_019|CAS1_BOVIN	 	 	 	contaminant	33.2	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	44	44	1.000	21	11	12	21	11	12	21.000	11.000	12.000	21	3996545.7753910003	8410578.888185	770809.6628429999	1908025.3534569996	917921.5699459999	1490389.729492	1143880.2252229995	88275.17077599998	29997.196898999995	150.0	150.0	11	1876130.2924809998	139296.039794	946177.5131839998	509249.912842	904134.5097640002	863702.233888	762689.2692860002	42151.90051200001	31023.938903	150.0	150.0	12	892135.3491209999	349114.3336799999	200595.462707	216609.20971700002	596351.616088	569139.223024	381813.20434500003	20562.126953000003	6848.390625	150.0	150.0
6	1	CONT_020|CAS2_BOVIN	 	 	 	contaminant	15.8	222	26018	ALPHA-S2 CASEIN PRECURSOR [Bos taurus].	7	7	1.000	4	2	1	4	2	1	4.000	2.000	1.000	4	352889.806152	854358.623047	79950.672363	135661.153564	70347.472473	92339.22900300001	78608.42211799999	3219.741943	1927.2169190000002	150.0	150.0	2	102305.785157	17990.323242	39165.080078	20514.790039	33727.675781	39594.386719	57060.90625	150.0	150.0	150.0	150.0	1	3317.8208010000003	1798.0841059999998	1624.755615	2595.434082	2057.756592	1183.706299	2632.6455079999996	150.0	150.0	150.0	150.0
7	1	CONT_021|CASB_BOVIN	 	 	 	contaminant	17.9	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	12	12	1.000	6	3	3	6	3	3	6.000	3.000	3.000	6	1540171.041503	2594096.891357	267558.38842800003	580338.631226	315639.666077	413205.253174	333725.550781	12569.019775	7837.088256999999	150.0	150.0	3	3680032.765625	228468.010254	1706651.832031	916688.575195	1692357.1621090001	1555765.9433590001	1520160.402344	81796.63208000001	62505.663086	150.0	150.0	3	2778844.601562	517411.56445299997	348360.018555	424961.117187	1403690.339844	1337889.0625	856905.568359	68994.205689	24547.105469	150.0	150.0
8	1	CONT_022|CASK_BOVIN	 	 	 	contaminant	15.3	190	21269	KAPPA CASEIN PRECURSOR [Bos taurus].	7	7	1.000	4	1	2	4	1	2	4.000	1.000	2.000	4	206865.226562	448831.648437	42250.365234	95512.087891	42350.545898000004	61855.01953199999	44553.245117	2347.893067	150.0	150.0	150.0	1	107847.35156199998	8497.94043	43878.222656	28890.154297000005	50337.484375	50981.089844	57196.36328099999	2963.910645	4253.047852000001	150.0	150.0	2	58238.176269999996	8169.496581999999	6892.044922	12407.330078	28736.614746	29466.186768	17406.903319999998	150.0	150.0	150.0	150.0
9	1	CONT_025|gi|346581|pir||S29094 (+2)	CONT_025|gi|346581|pir||S29094&CONT_110|gi|125117|sp|P25691|K2M3_SHEEP&CONT_173|gi|1903218|gnl|PID|e255345	 	CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, sp|P03995|GFAP_MOUSE, sp|P07744|K2C4_MOUSE, sp|P11679|K2C8_MOUSE, sp|P20152|VIME_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q99M73|KRT84_MOUSE, sp|Q9DCV7|K2C7_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE	contaminant	4.6	503	55342	keratin, type II, component 5, cytoskeletal [sheep, wool, Peptide, 503 aa].	19	2	0.105	10	6	3	1	1	0	1.015	1.008	0.005	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	1	CONT_050|gi|280816|pir||A37343 (+1)	CONT_050|gi|280816|pir||A37343&CONT_098|gi|125077|sp|P13646|K1CM_HUMAN	 	CONT_050|gi|280816|pir||A37343, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE	contaminant	15.5	420	45865	keratin 13, type I, cytoskeletal, short form [Homo sapiens].	23	0	0.000	10	8	5	0	0	0	0.000	0.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
